SCHOOL NAME,ADDRESS,CITY,COUNTY,ZIP,SCHOOL NURSE,SCHOOL NURSE TYPE,SCHOOL TYPE,ENROLLED,% IMMUNE DTAP,% EXEMPT DTAP,% COMPLIANCE DTAP,% IMMUNE POLIO,% EXEMPT POLIO,% COMPLIANCE POLIO,% IMMUNE MMR,% EXEMPT MMR,% COMPLIANCE MMR,% IMMUNE HEP B,% EXEMPT HEP B,% COMPLIANCE HEP B,% IMMUNE VAR,% EXEMPT VAR,% COMPLIANCE VAR,% PBE,% MEDICAL EXEMPT,% PBE ALL
SUMMIT SCHOOL OF AHWATUKEE,4515 E MUIRWOOD DR,PHOENIX,MARICOPA,85048,NO,,PRIVATE,28,89.3%,3.6%,92.9%,92.9%,3.6%,96.4%,92.9%,3.6%,96.4%,92.9%,3.6%,96.4%,92.9%,7.1%,100.0%,7.1%,0.0%,3.6%
SUMMIT VIEW ELEMENTARY,1900 E SUMMIT ST,TUCSON,PIMA,85756,YES,RN,PUBLIC,52,96.2%,1.9%,100.0%,96.2%,1.9%,100.0%,98.1%,1.9%,100.0%,98.1%,1.9%,100.0%,98.1%,1.9%,100.0%,1.9%,0.0%,1.9%
SUN CANYON ELEMENTARY SCHOOL,8150 W DURANGO ST,PHOENIX,MARICOPA,85043,YES,RN,PUBLIC,98,94.9%,3.1%,100.0%,96.9%,3.1%,100.0%,98.0%,2.0%,100.0%,96.9%,3.1%,100.0%,98.0%,2.0%,100.0%,3.1%,0.0%,1.0%
SUN VALLEY ACADEMY - AVONDALE,1515 N 117TH AVENUE,AVONDALE,MARICOPA,85392,NO,,CHARTER,84,86.9%,13.1%,100.0%,86.9%,13.1%,100.0%,86.9%,13.1%,100.0%,86.9%,13.1%,100.0%,86.9%,13.1%,100.0%,13.1%,0.0%,0.0%
SUN VALLEY ACADEMY - PHOENIX,2675 W BASELINE RD,PHOENIX,MARICOPA,85041,NO,,CHARTER,70,84.3%,12.9%,97.1%,84.3%,12.9%,97.1%,82.9%,11.4%,95.7%,87.1%,11.4%,98.6%,88.6%,11.4%,100.0%,12.9%,0.0%,11.4%
SUN VALLEY ELEMENTARY,3667 SAN LUIS LANE,SAN LUIS,YUMA,86336,YES,LPN,PUBLIC,46,97.8%,0.0%,97.8%,97.8%,0.0%,97.8%,97.8%,0.0%,97.8%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
SUN VALLEY ELEMENTARY SCHOOL,8361 N 95TH AVE,PEORIA,MARICOPA,85345,YES,LPN,PUBLIC,67,91.0%,0.0%,91.0%,91.0%,0.0%,91.0%,91.0%,0.0%,91.0%,97.0%,0.0%,97.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
SUNBURST ELEMENTARY SCHOOL,14218 N 47TH AVE,GLENDALE,MARICOPA,85306,NO,,PUBLIC,77,88.3%,11.7%,100.0%,90.9%,6.5%,100.0%,92.2%,7.8%,100.0%,94.8%,5.2%,100.0%,100.0%,0.0%,100.0%,9.1%,0.0%,0.0%
SUNDANCE ELEMENTARY SCHOOL-85326,23800 W HADLEY ST,BUCKEYE,MARICOPA,85326,NO,,PUBLIC,54,92.6%,7.4%,100.0%,94.4%,5.6%,100.0%,94.4%,5.6%,100.0%,92.6%,7.4%,100.0%,100.0%,0.0%,100.0%,7.4%,0.0%,1.9%
SUNDANCE ELEMENTARY SCHOOL-85345,7051 W CHOLLA ST,PEORIA,MARICOPA,85345,YES,RN,PUBLIC,55,85.5%,5.5%,96.4%,81.8%,5.5%,92.7%,85.5%,5.5%,100.0%,89.1%,5.5%,94.5%,90.9%,3.6%,100.0%,0.0%,5.5%,0.0%
SUNLAND ELEMENTARY SCHOOL,5401 S 7TH AVE,PHOENIX,MARICOPA,85041,NO,,PUBLIC,49,87.8%,6.1%,95.9%,91.8%,0.0%,91.8%,91.8%,0.0%,95.9%,95.9%,0.0%,100.0%,100.0%,0.0%,100.0%,6.1%,0.0%,0.0%
SUNNYSLOPE ELEMENTARY SCHOOL,245 EAST MOUNTAIN VIEW ROAD,PHOENIX,MARICOPA,85020,NO,,PUBLIC,63,88.9%,9.5%,100.0%,87.3%,9.5%,100.0%,84.1%,7.9%,93.7%,93.7%,6.3%,100.0%,93.7%,6.3%,100.0%,7.9%,0.0%,6.3%
SUNRIDGE ELEMENTARY SCHOOL,6244 W ROOSEVELT ST,PHOENIX,MARICOPA,85043,NO,,PUBLIC,77,88.3%,6.5%,100.0%,92.2%,6.5%,100.0%,92.2%,6.5%,100.0%,93.5%,5.2%,100.0%,93.5%,6.5%,100.0%,6.5%,0.0%,5.2%
SUNRISE DRIVE ELEMENTARY SCHOOL,5301 E SUNRISE DR,TUCSON,PIMA,85718,YES,RN,PUBLIC,75,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
SUNRISE ELEMENTARY - BULLHEAD CITY,2645 LANDON DR,BULLHEAD CITY,MOHAVE,86429,NO,,PUBLIC,79,86.1%,7.6%,98.7%,89.9%,6.3%,98.7%,91.1%,6.3%,98.7%,89.9%,6.3%,98.7%,92.4%,6.3%,98.7%,6.3%,0.0%,6.3%
SUNRISE ELEMENTARY SCHOOL,9943 S 28TH ST,YUMA,YUMA,85367,YES,RN,PUBLIC,98,96.9%,2.0%,100.0%,95.9%,2.0%,99.0%,98.0%,2.0%,100.0%,98.0%,2.0%,100.0%,98.0%,2.0%,100.0%,2.0%,0.0%,2.0%
SUNRISE ELEMENTARY SCHOOL - PHOENIX,17624 N 31ST AVE,PHOENIX,MARICOPA,85053,YES,RN,PUBLIC,47,95.7%,4.3%,100.0%,95.7%,4.3%,100.0%,95.7%,4.3%,100.0%,95.7%,4.3%,100.0%,95.7%,2.1%,100.0%,4.3%,2.1%,4.3%
SUNSET CANYON SCHOOL,2727 E SIESTA LN,PHOENIX,MARICOPA,85050,YES,RN,PUBLIC,25,92.0%,8.0%,100.0%,92.0%,8.0%,100.0%,88.0%,8.0%,96.0%,92.0%,8.0%,100.0%,88.0%,8.0%,96.0%,8.0%,0.0%,8.0%
SUNSET ELEMENTARY SCHOOL-85033,6602 W OSBORN RD,PHOENIX,MARICOPA,85033,YES,RN,PUBLIC,89,94.4%,0.0%,100.0%,95.5%,0.0%,100.0%,97.8%,0.0%,100.0%,96.6%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
SUNSET HEIGHTS ELEMENTARY SCHOOL-85382,9687 W ADAM AVE,PEORIA,MARICOPA,85382,YES,RN,PUBLIC,87,93.1%,4.6%,97.7%,93.1%,4.6%,97.7%,92.0%,5.7%,97.7%,94.3%,4.6%,98.9%,94.3%,4.6%,98.9%,6.9%,0.0%,4.6%
SUNSET HILLS ELEMENTARY-85379,17825 WEST SIERRA MONTANA LOOP,SURPRISE,MARICOPA,85388,NO,,PUBLIC,74,89.2%,10.8%,100.0%,89.2%,10.8%,100.0%,89.2%,10.8%,100.0%,89.2%,10.8%,100.0%,90.5%,9.5%,100.0%,10.8%,0.0%,8.1%
SUNSET RIDGE ELEMENTARY-85086,35707 N 33RD LN,PHOENIX,MARICOPA,85086,YES,RN,PUBLIC,46,95.7%,4.3%,100.0%,95.7%,4.3%,100.0%,95.7%,4.3%,100.0%,100.0%,0.0%,100.0%,97.8%,2.2%,100.0%,8.7%,0.0%,8.7%
SUNSET RIDGE ELEMENTARY-85305,8490 W MISSOURI AVE,GLENDALE,MARICOPA,85305,NO,,PUBLIC,57,91.2%,7.0%,100.0%,91.2%,8.8%,100.0%,91.2%,8.8%,100.0%,93.0%,7.0%,100.0%,96.5%,3.5%,100.0%,10.5%,0.0%,8.8%
SUNSET SCHOOL-85302,4626 W MOUNTAIN VIEW RD,GLENDALE,MARICOPA,85302,NO,,PUBLIC,74,91.9%,6.8%,98.6%,95.9%,2.7%,98.6%,93.2%,5.4%,98.6%,93.2%,5.4%,100.0%,95.9%,4.1%,100.0%,8.1%,0.0%,5.4%
SUNSET VISTA ELEMENTARY,7775 W ORANGEWOOD AVE,GLENDALE,MARICOPA,85303,YES,LPN,PUBLIC,78,83.3%,2.6%,91.0%,84.6%,2.6%,89.7%,74.4%,2.6%,82.1%,87.2%,2.6%,91.0%,94.9%,2.6%,97.4%,2.6%,0.0%,2.6%
SUPERSTITION SPRINGS ELEMENTARY,7125 E MONTEREY AVE,MESA,MARICOPA,85209,YES,RN,PUBLIC,78,94.9%,5.1%,100.0%,93.6%,6.4%,100.0%,94.9%,5.1%,100.0%,93.6%,6.4%,100.0%,94.9%,5.1%,100.0%,6.4%,0.0%,6.4%
SURPRISE ELEMENTARY SCHOOL,12907 W GREENWAY RD,EL MIRAGE,MARICOPA,85335,NO,,PUBLIC,76,93.4%,6.6%,100.0%,93.4%,6.6%,100.0%,93.4%,6.6%,100.0%,93.4%,6.6%,100.0%,96.1%,3.9%,100.0%,7.9%,0.0%,3.9%
SWEETWATER SCHOOL-85304,4602 W SWEETWATER AVE,GLENDALE,MARICOPA,85304,YES,RN,PUBLIC,45,93.3%,6.7%,100.0%,93.3%,6.7%,100.0%,95.6%,4.4%,100.0%,93.3%,6.7%,100.0%,93.3%,6.7%,100.0%,6.7%,0.0%,4.4%
SYCAMORE ELEMENTARY SCHOOL - CORONA DE TUCSON,16701 S HOUGHTON RD,CORONA DE TUCSON,PIMA,85641,NO,,PUBLIC,106,95.3%,4.7%,100.0%,95.3%,4.7%,100.0%,95.3%,4.7%,100.0%,95.3%,4.7%,100.0%,95.3%,4.7%,100.0%,4.7%,0.0%,4.7%
SYNERGY PUBLIC SCHOOL,2701 W BETHANY HOME RD,PHOENIX,MARICOPA,85017,NO,,CHARTER,65,41.5%,0.0%,41.5%,35.4%,0.0%,35.4%,10.8%,0.0%,10.8%,83.1%,0.0%,83.1%,83.1%,0.0%,83.1%,0.0%,0.0%,0.0%
T DALE HANCOCK ELEMENTARY,2425 S PLEASANT DR,CHANDLER,MARICOPA,85286,NO,,PUBLIC,81,92.6%,7.4%,100.0%,92.6%,7.4%,100.0%,93.8%,6.2%,100.0%,95.1%,4.9%,100.0%,95.1%,4.9%,100.0%,7.4%,0.0%,4.9%
T G BARR SCHOOL,2041 E VINEYARD RD,PHOENIX,MARICOPA,85042,YES,RN,PUBLIC,43,86.0%,9.3%,100.0%,86.0%,9.3%,100.0%,86.0%,9.3%,100.0%,86.0%,9.3%,100.0%,90.7%,9.3%,100.0%,9.3%,0.0%,0.0%
