SCHOOL NAME,ADDRESS,CITY,COUNTY,ZIP,SCHOOL NURSE,SCHOOL NURSE TYPE,SCHOOL TYPE,ENROLLED,% IMMUNE DTAP,% EXEMPT DTAP,% COMPLIANCE DTAP,% IMMUNE POLIO,% EXEMPT POLIO,% COMPLIANCE POLIO,% IMMUNE MMR,% EXEMPT MMR,% COMPLIANCE MMR,% IMMUNE HEP B,% EXEMPT HEP B,% COMPLIANCE HEP B,% IMMUNE VAR,% EXEMPT VAR,% COMPLIANCE VAR,% PBE,% MEDICAL EXEMPT,% PBE ALL
91ST PSALM CHRISTIAN SCHOOL,2020 E BASELINE RD,PHOENIX,MARICOPA,85042,NO,,PRIVATE,<20,83.3%,16.7%,100.0%,83.3%,16.7%,100.0%,83.3%,16.7%,100.0%,94.4%,5.6%,100.0%,94.4%,5.6%,100.0%,16.7%,0.0%,5.6%
A J MITCHELL ELEMENTARY SCHOOL,855 N BAUTISTA ST,NOGALES,SANTA CRUZ,85621,YES,RN,PUBLIC,41,90.2%,7.3%,100.0%,95.1%,4.9%,100.0%,95.1%,4.9%,100.0%,97.6%,0.0%,100.0%,100.0%,0.0%,100.0%,4.9%,0.0%,2.4%
ABIA JUDD ELEMENTARY SCHOOL,1749 WILLIAMSON VALLEY RD,PRESCOTT,YAVAPAI,86305,YES,RN,PUBLIC,79,84.8%,13.9%,98.7%,83.5%,13.9%,97.5%,84.8%,13.9%,98.7%,89.9%,8.9%,98.7%,92.4%,7.6%,100.0%,15.2%,0.0%,6.3%
ABRAHAM LINCOLN TRADITIONAL SCHOOL,10444 N 39TH AVE,PHOENIX,MARICOPA,85051,NO,,PUBLIC,55,92.7%,7.3%,100.0%,92.7%,7.3%,100.0%,94.5%,5.5%,100.0%,92.7%,7.3%,100.0%,94.5%,5.5%,100.0%,9.1%,0.0%,3.6%
ACAA ELEMENTARY ARIZONA CONSERVATORY FOR ARTS AND ACADEMICS K-5,16454 NORTH 28TH AVENUE,PHOENIX,MARICOPA,85083,NO,,CHARTER,<20,50.0%,21.4%,71.4%,78.6%,21.4%,100.0%,78.6%,21.4%,100.0%,85.7%,14.3%,100.0%,92.9%,7.1%,100.0%,21.4%,0.0%,21.4%
ACACIA ELEMENTARY SCHOOL - PHOENIX,3021 W EVANS DR,PHOENIX,MARICOPA,85053,NO,,PUBLIC,123,89.4%,10.6%,100.0%,91.9%,8.1%,100.0%,90.2%,9.8%,100.0%,89.4%,10.6%,100.0%,92.7%,7.3%,100.0%,11.4%,0.0%,7.3%
ACACIA ELEMENTARY SCHOOL - VAIL,12955 E COLOSSAL CAVE RD,VAIL,PIMA,85641,NO,,PUBLIC,91,96.7%,1.1%,100.0%,91.2%,3.3%,100.0%,90.1%,3.3%,100.0%,96.7%,1.1%,100.0%,96.7%,1.1%,97.8%,3.3%,0.0%,1.1%
ACADEMY DEL SOL - HOPE,7102 W VALLEY CREST PL,TUCSON,PIMA,85757,YES,Both,CHARTER,55,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,0.0%
ACADEMY DEL SOL - ROGER RD,732 W ROGER RD,TUCSON,PIMA,85705,YES,Both,CHARTER,22,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,0.0%
ACADEMY OF MATH AND SCIENCE - DESERT SKY,5701 W MCDOWELL RD,PHOENIX,MARICOPA,85035,YES,LPN,CHARTER,122,82.0%,0.0%,82.0%,86.9%,1.6%,88.5%,87.7%,0.0%,87.7%,88.5%,0.0%,88.5%,90.2%,0.0%,90.2%,1.6%,0.0%,0.0%
ACADEMY OF MATH AND SCIENCE - PRINCE RD,1557 W PRINCE RD,TUCSON,PIMA,85705,NO,,CHARTER,53,66.0%,5.7%,71.7%,90.6%,9.4%,100.0%,92.5%,7.5%,100.0%,94.3%,5.7%,100.0%,98.1%,1.9%,100.0%,13.2%,0.0%,0.0%
ACADEMY OF MATH AND SCIENCE AVONDALE,10649  W BUCKEYE ROAD,PHOENIX,MARICOPA,85353,NO,,CHARTER,124,87.1%,11.3%,98.4%,87.1%,10.5%,97.6%,88.7%,10.5%,99.2%,94.4%,5.6%,100.0%,94.4%,5.6%,100.0%,12.1%,0.0%,4.0%
ACADEMY OF MATH AND SCIENCE CAMELBACK,6633 W CAMELBACK RD,PHOENIX,MARICOPA,85033,NO,,CHARTER,149,85.9%,3.4%,89.3%,87.9%,3.4%,91.3%,86.6%,4.0%,90.6%,95.3%,1.3%,96.6%,94.0%,1.3%,95.3%,4.0%,0.0%,0.0%
ACADEMY OF MATH AND SCIENCE GLENDALE,4520 W GLENDALE AVE,GLENDALE,MARICOPA,85301,NO,,CHARTER,191,89.0%,4.2%,93.2%,90.6%,4.2%,94.8%,91.1%,4.2%,95.3%,92.7%,3.7%,96.3%,93.7%,3.7%,97.4%,3.1%,3.1%,2.6%
ACADEMY OF MATH AND SCIENCE PEORIA ADVANCED,7758 W PEORIA AVE,PEORIA,MARICOPA,85345,NO,,CHARTER,121,91.7%,4.1%,95.9%,92.6%,4.1%,96.7%,92.6%,4.1%,96.7%,93.4%,4.1%,97.5%,95.0%,3.3%,98.3%,2.5%,2.5%,0.0%
ACADEMY OF MATH AND SCIENCE SOUTH MOUNTAIN,1445  W BASELINE ROAD,PHOENIX,MARICOPA,85041,NO,,CHARTER,118,92.4%,6.8%,99.2%,93.2%,5.9%,99.2%,93.2%,5.9%,99.2%,94.9%,5.1%,100.0%,94.9%,5.1%,100.0%,6.8%,0.0%,4.2%
ACADEMY OF MATHEMATICS AND SCIENCE SOUTH,3335 W FLOWER ST,PHOENIX,MARICOPA,85017,NO,,CHARTER,75,74.7%,4.0%,78.7%,73.3%,4.0%,77.3%,76.0%,4.0%,80.0%,84.0%,4.0%,88.0%,86.7%,4.0%,90.7%,0.0%,4.0%,0.0%
ACADEMY OF TUCSON ELEMENTARY SCHOOL,9209 E WRIGHTSTOWN RD,TUCSON,PIMA,85715,NO,,CHARTER,<20,94.4%,5.6%,100.0%,94.4%,5.6%,100.0%,94.4%,5.6%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,5.6%,0.0%,5.6%
ACCLAIM ACADEMY,7624 W INDIAN SCHOOL RD,PHOENIX,MARICOPA,85033,NO,,CHARTER,29,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
ACORN MONTESSORI CHARTER SCHOOL - WEST,7555 LONG LOOK DR,PRESCOTT VALLEY,YAVAPAI,86314,NO,,CHARTER,68,85.3%,2.9%,100.0%,85.3%,2.9%,100.0%,79.4%,4.4%,95.6%,92.6%,2.9%,98.5%,89.7%,4.4%,95.6%,35.3%,1.5%,22.1%
ADAMS ELEMENTARY SCHOOL,738 S LONGMORE,MESA,MARICOPA,85202,YES,RN,PUBLIC,94,95.7%,2.1%,97.9%,97.9%,1.1%,98.9%,94.7%,2.1%,96.8%,97.9%,1.1%,98.9%,96.8%,0.0%,97.9%,2.1%,0.0%,1.1%
ADAMS TRADITIONAL ACADEMY,2323 W PARKSIDE LN,PHOENIX,MARICOPA,85027,YES,RN,CHARTER,88,81.8%,17.0%,100.0%,79.5%,19.3%,100.0%,84.1%,14.8%,100.0%,86.4%,10.2%,100.0%,88.6%,11.4%,100.0%,20.5%,0.0%,8.0%
ADVANCE U,449 E SOUTHERN AVE,PHOENIX,MARICOPA,85040,NO,,CHARTER,21,66.7%,4.8%,85.7%,71.4%,4.8%,85.7%,81.0%,4.8%,90.5%,95.2%,4.8%,100.0%,95.2%,4.8%,100.0%,4.8%,0.0%,4.8%
ADVENTURE SCHOOL - E PLACITA SIN NOMBRE,5757 E PIMA ST,TUCSON,PIMA,85712,NO,,CHARTER,20,95.0%,5.0%,100.0%,95.0%,5.0%,100.0%,95.0%,5.0%,100.0%,95.0%,5.0%,100.0%,95.0%,5.0%,100.0%,5.0%,0.0%,5.0%
AGUA CALIENTE SCHOOL,11420 E LIMBERLOST RD,TUCSON,PIMA,85749,YES,RN,PUBLIC,48,97.9%,2.1%,100.0%,97.9%,2.1%,100.0%,97.9%,2.1%,100.0%,97.9%,2.1%,100.0%,97.9%,2.1%,100.0%,2.1%,0.0%,2.1%
AGUILA ELEMENTARY SCHOOL,50023 N 51ST AVE,AGUILA,MARICOPA,85320,NO,,PUBLIC,<20,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
AGUILAR SCHOOL,5800 S FOREST AVE,TEMPE,MARICOPA,85283,YES,RN,PUBLIC,58,96.6%,3.4%,100.0%,94.8%,3.4%,100.0%,94.8%,3.4%,100.0%,94.8%,3.4%,100.0%,96.6%,3.4%,100.0%,3.4%,0.0%,3.4%
AJO ELEMENTARY SCHOOL,111 NORTH WELL RD,AJO,PIMA,85321,YES,RN,PUBLIC,21,90.5%,0.0%,90.5%,95.2%,0.0%,95.2%,95.2%,0.0%,95.2%,100.0%,0.0%,100.0%,95.2%,0.0%,95.2%,0.0%,0.0%,0.0%
AKIMEL O''OTHAM PEE POSH,4 MI E OF HWY 87 ON BLACKWAT,COOLIDGE,PINAL,85128,YES,RN,CHARTER,41,97.6%,0.0%,97.6%,100.0%,0.0%,100.0%,95.1%,0.0%,95.1%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
ALHAMBRA TRADITIONAL SCHOOL,5725 N 27TH AVE,PHOENIX,MARICOPA,85017,NO,,PUBLIC,67,97.0%,0.0%,97.0%,97.0%,0.0%,97.0%,95.5%,0.0%,95.5%,98.5%,0.0%,98.5%,100.0%,0.0%,100.0%,1.5%,0.0%,1.5%
ALICE BYRNE ELEMENTARY SCHOOL,811 W 16TH ST,YUMA,YUMA,85364,YES,RN,PUBLIC,61,88.5%,8.2%,100.0%,91.8%,8.2%,100.0%,95.1%,4.9%,100.0%,91.8%,6.6%,100.0%,95.1%,4.9%,100.0%,8.2%,0.0%,4.9%
ALL SAINTS CATHOLIC SCHOOL,1425 YAQUI ST,SIERRA VISTA,COCHISE,85650,NO,,PRIVATE,<20,92.9%,7.1%,100.0%,92.9%,7.1%,100.0%,92.9%,7.1%,100.0%,92.9%,7.1%,100.0%,92.9%,7.1%,100.0%,7.1%,0.0%,7.1%
ALL SAINTS EPISCOPAL DAY SCHOOL,6300 N CENTRAL AVE,PHOENIX,MARICOPA,85012,YES,RN,PRIVATE,49,100.0%,0.0%,100.0%,93.9%,6.1%,100.0%,93.9%,6.1%,100.0%,89.8%,10.2%,100.0%,95.9%,4.1%,100.0%,10.2%,0.0%,0.0%
ALTA E BUTLER SCHOOL,3843 W ROOSEVELT RD,PHOENIX,MARICOPA,85009,YES,LPN,PUBLIC,81,84.0%,1.2%,88.9%,85.2%,1.2%,90.1%,88.9%,1.2%,93.8%,91.4%,1.2%,96.3%,93.8%,1.2%,95.1%,1.2%,0.0%,1.2%
ALTA LOMA SCHOOL,9750 N 87TH AVE,PEORIA,MARICOPA,85345,YES,RN,PUBLIC,62,93.5%,3.2%,98.4%,91.9%,3.2%,96.8%,91.9%,3.2%,95.2%,93.5%,4.8%,98.4%,96.8%,3.2%,100.0%,4.8%,0.0%,3.2%
ALTA VISTA ELEMENTARY SCHOOL,8710 N 31ST AVE,PHOENIX,MARICOPA,85051,NO,,PUBLIC,62,90.3%,1.6%,100.0%,87.1%,1.6%,98.4%,98.4%,1.6%,100.0%,98.4%,1.6%,100.0%,98.4%,1.6%,100.0%,1.6%,0.0%,1.6%
AMBERLEA ELEMENTARY SCHOOL,8455 W VIRGINIA AVE,PHOENIX,MARICOPA,85037,NO,,PUBLIC,51,90.2%,7.8%,98.0%,90.2%,5.9%,96.1%,90.2%,5.9%,96.1%,96.1%,3.9%,100.0%,96.1%,3.9%,100.0%,7.8%,0.0%,3.9%
AMERICAN HERITAGE ACADEMY - CAMP VERDE,132 GENERAL CROOK TRAIL,CAMP VERDE,YAVAPAI,86322,NO,,CHARTER,<20,76.9%,23.1%,100.0%,76.9%,23.1%,100.0%,76.9%,23.1%,100.0%,76.9%,23.1%,100.0%,84.6%,15.4%,100.0%,23.1%,0.0%,23.1%
AMERICAN HERITAGE ACADEMY - COTTONWOOD,2030 E CHERRY ST,COTTONWOOD,YAVAPAI,86326,NO,,CHARTER,<20,60.0%,33.3%,93.3%,66.7%,33.3%,100.0%,66.7%,33.3%,100.0%,66.7%,33.3%,100.0%,66.7%,33.3%,100.0%,33.3%,0.0%,33.3%
AMERICAN LEADERSHIP ACADEMY - GILBERT,3155 S SAN TAN VILLAGE PKWY,GILBERT,MARICOPA,85295,NO,,CHARTER,87,77.0%,23.0%,100.0%,75.9%,24.1%,100.0%,78.2%,21.8%,100.0%,80.5%,19.5%,100.0%,83.9%,16.1%,100.0%,23.0%,2.3%,13.8%
AMERICAN LEADERSHIP ACADEMY - IRONWOOD K-6,650 W COMBS RD,QUEEN CREEK,PINAL,85140,NO,,CHARTER,92,83.7%,16.3%,100.0%,83.7%,16.3%,100.0%,82.6%,16.3%,100.0%,87.0%,13.0%,100.0%,87.0%,13.0%,100.0%,16.3%,1.1%,10.9%
AMERICAN LEADERSHIP ACADEMY - MESA,4507 S MOUNTAIN RD,MESA,MARICOPA,85212,NO,,CHARTER,85,74.1%,24.7%,100.0%,74.1%,24.7%,100.0%,75.3%,24.7%,100.0%,85.9%,12.9%,100.0%,88.2%,11.8%,100.0%,22.4%,0.0%,17.6%
AMERICAN LEADERSHIP ACADEMY - QUEEN CREEK,23908 S HAWES RD,QUEEN CREEK,MARICOPA,85142,NO,,CHARTER,87,69.0%,29.9%,100.0%,71.3%,28.7%,100.0%,72.4%,27.6%,100.0%,82.8%,17.2%,100.0%,85.1%,14.9%,100.0%,31.0%,5.7%,11.5%
AMERICAN LEADERSHIP ACADEMY - SAN TAN,34969 N VILLAGE LN,QUEEN CREEK,MARICOPA,85142,NO,,CHARTER,100,91.0%,9.0%,100.0%,91.0%,9.0%,100.0%,89.0%,11.0%,100.0%,94.0%,6.0%,100.0%,94.0%,6.0%,100.0%,11.0%,0.0%,5.0%
AMERICAN LEADERSHIP ACADEMY ANTHEM SOUTH CAMPUS,4380 N HUNT HWY,FLORENCE,PINAL,85132,YES,RN,CHARTER,79,86.1%,11.4%,100.0%,84.8%,13.9%,100.0%,88.6%,11.4%,100.0%,89.9%,7.6%,100.0%,93.7%,6.3%,100.0%,16.5%,1.3%,5.1%
AMERICAN LEADERSHIP ACADEMY- GILBERT NORTH K-6 CAMPUS,1010 S HIGLEY ROAD,GILBERT,MARICOPA,85296,NO,,CHARTER,102,76.5%,23.5%,100.0%,76.5%,23.5%,100.0%,75.5%,24.5%,100.0%,86.3%,12.7%,100.0%,86.3%,13.7%,100.0%,24.5%,0.0%,12.7%
AMERICAN LEADERSHIP ACADEMY- GILBERT SOUTH K-6 CAMPUS,1750 E RIGGS ROAD,GILBERT,MARICOPA,85298,NO,,CHARTER,82,73.2%,26.8%,100.0%,75.6%,24.4%,100.0%,74.4%,25.6%,100.0%,91.5%,8.5%,100.0%,89.0%,11.0%,100.0%,18.3%,1.2%,3.7%
AMERICAN LEADERSHIP ACADEMY- SIGNAL BUTTE K-6 CAMPUS,22512 S SIGNAL BUTTE RD,QUEEN CREEK,MARICOPA,85142,NO,,CHARTER,75,77.3%,22.7%,100.0%,76.0%,24.0%,100.0%,74.7%,25.3%,100.0%,89.3%,10.7%,100.0%,89.3%,10.7%,100.0%,25.3%,0.0%,13.3%
AMERICAN LEADERSHIP ACADEMY WEST FOOTHILLS EL,17760 WEST OLIVE AVENUE,WADDELL,MARICOPA,85355,NO,,CHARTER,99,74.7%,25.3%,100.0%,73.7%,25.3%,100.0%,76.8%,23.2%,100.0%,84.8%,15.2%,100.0%,85.9%,14.1%,100.0%,27.3%,0.0%,12.1%
AMERICAN LEADERSHIP ACADEMY-VIRTUAL,6913 EAST REMBRANDT AVENUE,MESA,MARICOPA,85212,NO,,CHARTER,22,72.7%,27.3%,100.0%,72.7%,27.3%,100.0%,72.7%,27.3%,100.0%,86.4%,13.6%,100.0%,95.5%,4.5%,100.0%,31.8%,0.0%,4.5%
AMERISCHOOLS ACADEMY - CAMELBACK,1333 W CAMELBACK RD,PHOENIX,MARICOPA,85013,NO,,CHARTER,<20,81.8%,0.0%,81.8%,81.8%,0.0%,81.8%,90.9%,0.0%,90.9%,90.9%,0.0%,90.9%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
AMERISCHOOLS ACADEMY - COUNTRY CLUB,1150 N COUNTRY CLUB RD,TUCSON,PIMA,85716,NO,,CHARTER,<20,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
AMERISCHOOLS ACADEMY - YUMA NORTH CAMPUS,1220 S 4TH AVE,YUMA,YUMA,85364,NO,,CHARTER,26,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,96.2%,0.0%,96.2%,100.0%,0.0%,100.0%,96.2%,0.0%,96.2%,0.0%,0.0%,0.0%
AMERISCHOOLS ACADEMY - YUMA SOUTH CAMPUS,2098 S 3RD AVE,YUMA,YUMA,85364,NO,,CHARTER,<20,94.4%,5.6%,100.0%,94.4%,5.6%,100.0%,94.4%,5.6%,100.0%,94.4%,5.6%,100.0%,94.4%,5.6%,100.0%,5.6%,5.6%,5.6%
ANASAZI ELEMENTARY,12121 N 124TH ST,SCOTTSDALE,MARICOPA,85259,YES,RN,PUBLIC,49,95.9%,4.1%,100.0%,95.9%,4.1%,100.0%,98.0%,2.0%,100.0%,98.0%,2.0%,100.0%,95.9%,4.1%,100.0%,4.1%,0.0%,2.0%
ANNA HENRY ELEMENTARY SCHOOL,650 N IGO WAY,TUCSON,PIMA,85710,YES,RN,PUBLIC,34,85.3%,14.7%,100.0%,85.3%,14.7%,100.0%,85.3%,14.7%,100.0%,88.2%,11.8%,100.0%,94.1%,5.9%,100.0%,14.7%,0.0%,8.8%
ANNA MARIE JACOBSON  ELEMENTARY SCHOOL,1515 NW JACARANDA PKWY,CHANDLER,MARICOPA,85248,NO,,PUBLIC,69,98.6%,1.4%,100.0%,98.6%,1.4%,100.0%,98.6%,1.4%,100.0%,95.7%,4.3%,100.0%,98.6%,1.4%,100.0%,4.3%,0.0%,1.4%
ANNIE KELLOND ELEMENTARY SCHOOL,6606 E LEHIGH DR,TUCSON,PIMA,85710,YES,RN,PUBLIC,55,100.0%,0.0%,100.0%,98.2%,0.0%,98.2%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
ANTHEM K-8 SCHOOL,2700 N ANTHEM WAY,FLORENCE,PINAL,85132,NO,,PUBLIC,72,88.9%,11.1%,100.0%,86.1%,13.9%,100.0%,88.9%,11.1%,100.0%,91.7%,8.3%,100.0%,93.1%,6.9%,100.0%,13.9%,0.0%,6.9%
ANTHEM SCHOOL,41020 N FREEDOM WAY,ANTHEM,MARICOPA,85086,YES,RN,PUBLIC,28,85.7%,10.7%,96.4%,85.7%,10.7%,96.4%,85.7%,10.7%,96.4%,82.1%,14.3%,96.4%,89.3%,7.1%,96.4%,14.3%,14.3%,10.7%
ANZA TRAIL ELEMENTARY,15490 S RANCHO SAHUARITA BLVD,SAHUARITA,PIMA,85629,NO,,PUBLIC,80,91.3%,8.8%,100.0%,91.3%,8.8%,100.0%,98.8%,1.3%,100.0%,98.8%,1.3%,100.0%,98.8%,1.3%,100.0%,8.8%,0.0%,2.5%
APACHE ELEMENTARY SCHOOL,8633 W JOHN CABOT RD,PEORIA,MARICOPA,85382,YES,RN,PUBLIC,52,94.2%,5.8%,100.0%,100.0%,0.0%,100.0%,94.2%,5.8%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,5.8%,0.0%,0.0%
ARCHWAY CLASSICAL ACADEMY - CHANDLER,1951 N ALMA SCHOOL RD,CHANDLER,MARICOPA,85224,YES,RN,CHARTER,83,85.5%,14.5%,100.0%,84.3%,15.7%,100.0%,81.9%,18.1%,100.0%,90.4%,9.6%,100.0%,91.6%,8.4%,100.0%,18.1%,0.0%,4.8%
ARCHWAY CLASSICAL ACADEMY - SCOTTSDALE,16648 N 94TH STREET,SCOTTSDALE,MARICOPA,85260,YES,RN,CHARTER,163,83.4%,16.6%,100.0%,83.4%,16.6%,100.0%,82.2%,17.8%,100.0%,88.3%,11.0%,100.0%,89.6%,10.4%,100.0%,19.6%,0.0%,9.2%
ARCHWAY CLASSICAL ACADEMY GLENDALE,23276 N 83RD AVE,PEORIA,MARICOPA,85383,YES,Both,CHARTER,94,69.1%,30.9%,100.0%,70.2%,29.8%,100.0%,66.0%,34.0%,100.0%,78.7%,21.3%,100.0%,80.9%,19.1%,100.0%,31.9%,0.0%,5.3%
ARIZONA AUTISM CHARTER SCHOOL,4433 N 7TH ST,PHOENIX,MARICOPA,85014,YES,RN,CHARTER,43,76.7%,11.6%,100.0%,76.7%,11.6%,100.0%,76.7%,11.6%,97.7%,88.4%,9.3%,97.7%,90.7%,9.3%,100.0%,11.6%,0.0%,9.3%
ARIZONA CHARTER ACADEMY,16011 N DYSART RD,SURPRISE,MARICOPA,85374,NO,,CHARTER,126,95.2%,4.8%,100.0%,95.2%,4.8%,100.0%,95.2%,4.8%,100.0%,96.0%,4.0%,100.0%,97.6%,2.4%,100.0%,5.6%,0.0%,3.2%
ARIZONA CITY ELEMENTARY SCHOOL,12115 W BENITO DR,ARIZONA CITY,PINAL,85231,NO,,PUBLIC,104,83.7%,9.6%,93.3%,89.4%,7.7%,97.1%,90.4%,7.7%,98.1%,91.3%,8.7%,100.0%,92.3%,7.7%,100.0%,2.9%,0.0%,0.0%
ARIZONA CONNECTIONS ACADEMY,335 E GERMANN RD,GILBERT,MARICOPA,85297,NO,,CHARTER,75,72.0%,25.3%,98.7%,73.3%,25.3%,98.7%,73.3%,25.3%,98.7%,84.0%,16.0%,100.0%,86.7%,13.3%,100.0%,26.7%,0.0%,13.3%
ARIZONA CONSERVATORY FOR ARTS AND ACADEMICS,2820 W KELTON LN,PHOENIX,MARICOPA,85204,NO,,CHARTER,<20,15.4%,7.7%,23.1%,30.8%,7.7%,38.5%,38.5%,7.7%,46.2%,46.2%,7.7%,53.8%,61.5%,7.7%,69.2%,7.7%,0.0%,0.0%
ARIZONA CULTURAL ACADEMY,7810 S 42ND PL,PHOENIX,MARICOPA,85042,NO,,PRIVATE,33,90.9%,9.1%,100.0%,90.9%,9.1%,100.0%,90.9%,9.1%,100.0%,87.9%,12.1%,100.0%,87.9%,12.1%,100.0%,12.1%,0.0%,9.1%
ARIZONA DESERT ELEMENTARY SCHOOL - SAN LUIS,1245 N MAIN ST,SAN LUIS,YUMA,85349,NO,,PUBLIC,77,98.7%,0.0%,100.0%,98.7%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
ARIZONA DESERT ELEMENTARY SCHOOL - TOLLESON,8803 W VAN BUREN ST,TOLLESON,MARICOPA,85353,YES,RN,PUBLIC,90,94.4%,2.2%,96.7%,95.6%,2.2%,97.8%,96.7%,2.2%,98.9%,96.7%,2.2%,98.9%,95.6%,2.2%,97.8%,2.2%,0.0%,2.2%
ARIZONA LANGUAGE PREPARATORY,4645 E MARILYN ROAD,PHOENIX,MARICOPA,85032,NO,,CHARTER,<20,84.6%,15.4%,100.0%,84.6%,15.4%,100.0%,84.6%,15.4%,100.0%,84.6%,15.4%,100.0%,84.6%,15.4%,100.0%,15.4%,0.0%,15.4%
ARLINGTON ELEMENTARY SCHOOL,9410 S 355TH AVE,ARLINGTON,MARICOPA,85322,NO,,PUBLIC,25,76.0%,0.0%,84.0%,80.0%,0.0%,84.0%,76.0%,0.0%,76.0%,92.0%,0.0%,92.0%,96.0%,0.0%,96.0%,0.0%,0.0%,0.0%
ARREDONDO ELEMENTARY SCHOOL,1330 E CARSON DRIVE,TEMPE,MARICOPA,85282,YES,RN,PUBLIC,54,90.7%,5.6%,98.1%,92.6%,5.6%,98.1%,90.7%,7.4%,98.1%,94.4%,3.7%,98.1%,94.4%,3.7%,98.1%,9.3%,0.0%,3.7%
ARROWHEAD CHRISTIAN ACADEMY,4030 W YORKSHIRE DR,GLENDALE,MARICOPA,85308,NO,,PRIVATE,<20,63.2%,36.8%,100.0%,52.6%,47.4%,100.0%,57.9%,42.1%,100.0%,73.7%,26.3%,100.0%,68.4%,31.6%,100.0%,47.4%,0.0%,26.3%
ARROWHEAD ELEMENTARY SCHOOL-85308,7490 W UNION HILLS DR,GLENDALE,MARICOPA,85308,YES,LPN,PUBLIC,69,94.2%,4.3%,100.0%,95.7%,4.3%,100.0%,95.7%,4.3%,100.0%,95.7%,4.3%,100.0%,95.7%,4.3%,100.0%,4.3%,0.0%,4.3%
ARROYO SCHOOL,4535 W CHOLLA ST,GLENDALE,MARICOPA,85304,NO,,PUBLIC,33,97.0%,3.0%,100.0%,97.0%,3.0%,100.0%,97.0%,3.0%,100.0%,97.0%,3.0%,100.0%,97.0%,3.0%,100.0%,3.0%,0.0%,3.0%
ARTHUR M HAMILTON SCHOOL,2020 W DURANGO,PHOENIX,MARICOPA,85009,NO,,PUBLIC,21,95.2%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
ARTS ACADEMY AT ESTRELLA MOUNTAIN,2504 S 91ST AVE,PHOENIX,MARICOPA,85353,NO,,CHARTER,68,95.6%,1.5%,100.0%,95.6%,1.5%,100.0%,94.1%,1.5%,100.0%,92.6%,1.5%,100.0%,98.5%,1.5%,100.0%,1.5%,0.0%,1.5%
ASANTE PREPARATORY ACADEMY ,23251 N 166TH DR,SURPRISE,MARICOPA,85387,NO,,PUBLIC,133,94.0%,6.0%,100.0%,93.2%,6.8%,100.0%,92.5%,7.5%,100.0%,94.0%,6.0%,100.0%,94.7%,5.3%,100.0%,7.5%,0.0%,4.5%
ASCENSION LUTHERAN SCHOOL,1220 W MAGEE RD,TUCSON,PIMA,85704,NO,,PRIVATE,<20,88.2%,11.8%,100.0%,88.2%,11.8%,100.0%,88.2%,11.8%,100.0%,88.2%,11.8%,100.0%,88.2%,11.8%,100.0%,11.8%,0.0%,11.8%
ASH FORK ELEMENTARY SCHOOL,46999 N 5TH ST,ASH FORK,YAVAPAI,86320,YES,RN,PUBLIC,20,90.0%,5.0%,100.0%,90.0%,10.0%,100.0%,70.0%,25.0%,100.0%,95.0%,5.0%,100.0%,95.0%,5.0%,100.0%,25.0%,0.0%,5.0%
ASHLAND ELEMENTARY,1945 S ASHLAND RANCH,GILBERT,MARICOPA,85295,YES,RN,PUBLIC,79,81.0%,19.0%,100.0%,81.0%,19.0%,100.0%,81.0%,19.0%,100.0%,88.6%,11.4%,100.0%,91.1%,8.9%,100.0%,21.5%,0.0%,6.3%
ASU PREP DIGITAL,1130 EAST UNIVERSITY DRIVE,TEMPE,MARICOPA,85281,NO,,CHARTER,87,64.4%,18.4%,82.8%,66.7%,18.4%,85.1%,64.4%,18.4%,82.8%,66.7%,18.4%,85.1%,66.7%,17.2%,83.9%,18.4%,0.0%,17.2%
